year,state,cause,sum(deaths)
2013,Wisconsin,Unintentional injuries,2969
2016,Alabama,Stroke,2967
2007,Pennsylvania,Kidney disease,2965
2015,Kentucky,Unintentional injuries,2962
2005,Wisconsin,Stroke,2960
2015,Indiana,Stroke,2959
2002,Pennsylvania,Influenza and pneumonia,2957
2000,South Carolina,Stroke,2956
2008,Arizona,Unintentional injuries,2956
2000,Maryland,Stroke,2955
2012,Washington,CLRD,2955
2004,Michigan,Diabetes,2953
2005,Alabama,Stroke,2952
2003,Pennsylvania,Alzheimer's disease,2952
2013,Virginia,Unintentional injuries,2951
2005,Illinois,Influenza and pneumonia,2949
2004,Maine,Heart disease,2948
2008,Florida,Kidney disease,2946
2002,Pennsylvania,Kidney disease,2944
2015,Arizona,Alzheimer's disease,2943
2004,Utah,Heart disease,2942
2005,Maine,Heart disease,2941
2001,Tennessee,CLRD,2941
2002,Illinois,Influenza and pneumonia,2940
2009,Missouri,Unintentional injuries,2939
2008,Arizona,CLRD,2939
2003,Missouri,CLRD,2939
2004,Pennsylvania,Influenza and pneumonia,2938
2015,Alabama,Stroke,2937
2013,Missouri,Stroke,2935
2009,Washington,CLRD,2933
2013,Washington,CLRD,2933
2006,Utah,Heart disease,2932
2007,Virginia,Unintentional injuries,2931
2008,Washington,CLRD,2930
2013,Florida,Suicide,2928
2004,Ohio,Alzheimer's disease,2927
2010,Illinois,Alzheimer's disease,2927
2008,Kentucky,CLRD,2926
2010,Arizona,CLRD,2926
2000,Massachusetts,CLRD,2925
2015,Oklahoma,CLRD,2924
2007,Florida,Kidney disease,2923
2009,Arizona,Unintentional injuries,2919
2013,Illinois,Alzheimer's disease,2919
2000,Illinois,Influenza and pneumonia,2917
2014,Washington,CLRD,2916
2012,Florida,Kidney disease,2912
2011,Alabama,CLRD,2912
2001,New Jersey,CLRD,2911
2016,Washington,Stroke,2910
2003,New Jersey,CLRD,2910
2011,Illinois,Alzheimer's disease,2910
2000,Utah,Heart disease,2909
2015,South Carolina,CLRD,2908
2016,Maine,Heart disease,2907
2000,New Mexico,Cancer,2906
2003,Ohio,Alzheimer's disease,2902
2001,New Mexico,Cancer,2900
2015,Pennsylvania,Influenza and pneumonia,2899
2013,Indiana,Unintentional injuries,2898
2005,Virginia,CLRD,2897
2011,Texas,Suicide,2896
2001,Utah,Heart disease,2896
2005,Washington,Stroke,2895
1999,Maryland,Stroke,2892
2010,Texas,Suicide,2891
2009,Illinois,Alzheimer's disease,2891
2010,Utah,Heart disease,2889
2000,Tennessee,CLRD,2887
2002,New Jersey,CLRD,2885
2016,Idaho,Cancer,2884
2013,Pennsylvania,Influenza and pneumonia,2884
2012,Virginia,Unintentional injuries,2883
2001,Missouri,CLRD,2882
2001,Maryland,Stroke,2882
2006,Massachusetts,Stroke,2880
2011,Florida,Suicide,2880
2016,Colorado,Unintentional injuries,2880
2011,Michigan,Alzheimer's disease,2876
2012,Utah,Cancer,2876
2016,New Hampshire,Cancer,2875
2003,Illinois,Influenza and pneumonia,2875
2011,Pennsylvania,Kidney disease,2873
2005,Utah,Heart disease,2872
2013,North Carolina,Alzheimer's disease,2872
2016,South Carolina,CLRD,2870
2002,Missouri,CLRD,2867
2010,Alabama,CLRD,2866
2012,Illinois,Alzheimer's disease,2865
2008,Alabama,Stroke,2863
1999,Massachusetts,CLRD,2862
2006,New Jersey,CLRD,2862
2016,Texas,Influenza and pneumonia,2860
2009,Florida,Suicide,2858
1999,New Mexico,Cancer,2857
2008,California,Kidney disease,2854
2009,Kentucky,CLRD,2854
2007,Maine,Heart disease,2852
2007,Illinois,Diabetes,2851
2012,North Carolina,Alzheimer's disease,2850
2015,Idaho,Cancer,2849
2005,Missouri,Unintentional injuries,2848
2008,Illinois,Diabetes,2846
2015,Wisconsin,CLRD,2846
2014,Michigan,Diabetes,2844
2008,Utah,Heart disease,2844
2005,Michigan,Diabetes,2842
2013,California,Kidney disease,2840
2009,Arizona,CLRD,2839
2001,Pennsylvania,Kidney disease,2838
2001,New Hampshire,Heart disease,2835
2007,California,Kidney disease,2835
1999,Texas,Alzheimer's disease,2833
2001,South Carolina,Stroke,2832
2007,Massachusetts,Stroke,2832
2001,California,Suicide,2831
2006,Michigan,Diabetes,2830
2006,Wisconsin,Stroke,2829
2011,North Carolina,Alzheimer's disease,2828
2005,Illinois,Alzheimer's disease,2827
2013,Washington,Unintentional injuries,2826
2007,Michigan,Diabetes,2826
2015,Idaho,Heart disease,2825
2012,Wisconsin,Unintentional injuries,2825
2013,Michigan,Diabetes,2825
2002,Pennsylvania,Alzheimer's disease,2823
2002,South Carolina,Stroke,2822
2005,Arizona,CLRD,2821
2000,Virginia,CLRD,2820
2008,Virginia,Unintentional injuries,2820
2000,Minnesota,Stroke,2820
2015,Illinois,Diabetes,2817
2010,North Carolina,Alzheimer's disease,2817
2006,Maine,Heart disease,2815
2016,Pennsylvania,Kidney disease,2813
2009,Utah,Heart disease,2813
2000,New Hampshire,Heart disease,2811
2011,Michigan,Diabetes,2811
2002,Maryland,Stroke,2811
2016,North Carolina,Diabetes,2811
2010,Utah,Cancer,2810
2001,Massachusetts,CLRD,2810
2011,Virginia,Unintentional injuries,2809
2009,Texas,Suicide,2809
2016,Florida,Influenza and pneumonia,2808
2013,Maine,Heart disease,2807
2005,Florida,Influenza and pneumonia,2802
2000,Missouri,CLRD,2802
2006,Arizona,CLRD,2799
1999,Oregon,Stroke,2799
2014,Pennsylvania,Kidney disease,2798
2013,Illinois,Diabetes,2798
2006,Illinois,Diabetes,2795
2014,Idaho,Cancer,2795
2016,Oklahoma,CLRD,2794
2006,Illinois,Alzheimer's disease,2794
2010,Florida,Suicide,2789
2013,Wisconsin,CLRD,2789
2003,Missouri,Unintentional injuries,2786
1999,Utah,Heart disease,2786
2016,Wisconsin,CLRD,2786
2002,Michigan,Diabetes,2785
2008,Maine,Heart disease,2785
2015,Massachusetts,CLRD,2784
2016,Illinois,Diabetes,2781
2004,Illinois,Influenza and pneumonia,2779
2010,Kentucky,CLRD,2779
2012,Indiana,Unintentional injuries,2776
2014,Maine,Heart disease,2776
2002,New Hampshire,Heart disease,2776
2008,Washington,Stroke,2773
2015,New Hampshire,Cancer,2773
2014,Oklahoma,CLRD,2772
2011,Pennsylvania,Influenza and pneumonia,2771
2004,Arizona,Unintentional injuries,2770
2009,Alabama,CLRD,2770
2007,Virginia,CLRD,2770
2013,Pennsylvania,Kidney disease,2767
2003,Massachusetts,CLRD,2765
2012,Washington,Unintentional injuries,2760
2014,Wisconsin,CLRD,2759
2013,South Carolina,CLRD,2756
2016,Alabama,Unintentional injuries,2755
2001,Pennsylvania,Alzheimer's disease,2753
2002,Virginia,CLRD,2752
2008,Michigan,Diabetes,2752
1999,New Hampshire,Heart disease,2751
2015,Michigan,Diabetes,2751
2007,Rhode Island,Heart disease,2751
2003,South Carolina,Stroke,2748
1999,Tennessee,CLRD,2748
2007,Alabama,Stroke,2747
2008,Massachusetts,Stroke,2747
2011,Utah,Cancer,2746
2015,North Carolina,Diabetes,2746
2002,Massachusetts,CLRD,2745
2002,Tennessee,Unintentional injuries,2744
2001,Virginia,CLRD,2744
2000,Tennessee,Unintentional injuries,2743
2009,Illinois,Diabetes,2741
2012,Kentucky,Unintentional injuries,2741
2008,Florida,Suicide,2740
2011,New Hampshire,Cancer,2740
2006,Alabama,Stroke,2740
2008,Michigan,Alzheimer's disease,2739
2007,Wisconsin,Stroke,2738
2015,South Carolina,Unintentional injuries,2737
2010,Washington,CLRD,2737
2012,Pennsylvania,Kidney disease,2736
2010,Michigan,Alzheimer's disease,2736
2001,Pennsylvania,Influenza and pneumonia,2735
2007,Illinois,Alzheimer's disease,2734
2003,Maryland,Stroke,2734
2008,Alabama,CLRD,2733
2004,Missouri,CLRD,2731
2004,Virginia,CLRD,2730
2005,Texas,Kidney disease,2729
2012,California,Kidney disease,2728
2004,Missouri,Unintentional injuries,2728
2001,Minnesota,Stroke,2727
2008,Washington,Unintentional injuries,2727
2006,Washington,Stroke,2725
2015,Colorado,Unintentional injuries,2725
2003,New Hampshire,Heart disease,2725
2002,Washington,CLRD,2721
2010,Oklahoma,CLRD,2720
2014,Florida,Influenza and pneumonia,2719
2004,Maryland,Stroke,2718
2006,Rhode Island,Heart disease,2718
2006,Pennsylvania,Influenza and pneumonia,2716
2014,South Carolina,CLRD,2715
1999,Washington,CLRD,2713
2014,Illinois,Diabetes,2712
1999,Kentucky,Stroke,2710
2016,Louisiana,Unintentional injuries,2710
2011,Washington,Unintentional injuries,2709
2001,Tennessee,Unintentional injuries,2709
2016,Maryland,Stroke,2709
2013,Idaho,Cancer,2707
2002,Minnesota,Stroke,2706
2012,Illinois,Diabetes,2706
2009,Michigan,Diabetes,2705
2008,Pennsylvania,Influenza and pneumonia,2705
2015,Washington,Stroke,2703
2006,Virginia,Unintentional injuries,2703
1999,Virginia,CLRD,2699
2005,Washington,CLRD,2699
2011,Indiana,Unintentional injuries,2699
2014,New Hampshire,Cancer,2698
2016,Minnesota,Unintentional injuries,2697
2010,Michigan,Diabetes,2697
2003,Arizona,Unintentional injuries,2697
2006,Virginia,CLRD,2697
2009,Washington,Unintentional injuries,2696
2009,Illinois,Kidney disease,2695
2008,Oklahoma,CLRD,2694
2011,Illinois,Diabetes,2693
2007,Washington,Stroke,2692
2007,Washington,Alzheimer's disease,2689
2014,North Carolina,Diabetes,2687
2007,Arizona,CLRD,2686
2011,New Jersey,Unintentional injuries,2685
2012,Michigan,Diabetes,2685
1999,Louisiana,Stroke,2684
2007,Washington,CLRD,2684
2013,Oklahoma,CLRD,2680
2011,Wisconsin,Unintentional injuries,2680
1999,Pennsylvania,Kidney disease,2680
2006,Washington,Unintentional injuries,2679
2016,Indiana,Alzheimer's disease,2678
2003,Texas,Kidney disease,2678
1999,Tennessee,Unintentional injuries,2677
2000,Pennsylvania,Kidney disease,2677
2006,California,Kidney disease,2676
2015,Florida,Influenza and pneumonia,2676
2014,Idaho,Heart disease,2676
2009,Alabama,Stroke,2675
2016,Massachusetts,CLRD,2674
2009,Maine,Heart disease,2674
2016,Michigan,Diabetes,2672
2008,Illinois,Influenza and pneumonia,2672
2014,Tennessee,Alzheimer's disease,2672
2014,Georgia,Alzheimer's disease,2670
2006,Illinois,Influenza and pneumonia,2668
2014,Massachusetts,Unintentional injuries,2668
2014,Alabama,Stroke,2663
2006,Washington,CLRD,2662
2013,Florida,Influenza and pneumonia,2662
2011,Alabama,Unintentional injuries,2662
2012,New Hampshire,Cancer,2660
2001,Illinois,Influenza and pneumonia,2659
2008,Rhode Island,Heart disease,2657
2001,Michigan,Diabetes,2655
2003,Washington,CLRD,2652
2013,Washington,Stroke,2652
2011,Massachusetts,CLRD,2651
2014,Washington,Stroke,2649
2000,Arizona,Stroke,2648
2011,Maine,Heart disease,2648
2005,Massachusetts,CLRD,2647
2009,North Carolina,Alzheimer's disease,2646
2002,Oregon,Stroke,2645
2003,Virginia,Unintentional injuries,2644
2000,Washington,CLRD,2644
2004,South Carolina,Stroke,2643
2002,Missouri,Unintentional injuries,2641
1999,Ohio,Influenza and pneumonia,2641
2003,Michigan,Diabetes,2640
2012,New York,Alzheimer's disease,2640
2004,New Hampshire,Heart disease,2639
2014,New York,Alzheimer's disease,2639
2005,Virginia,Unintentional injuries,2638
2008,Wisconsin,Stroke,2638
2001,Louisiana,Stroke,2638
2011,Oklahoma,CLRD,2637
2007,Washington,Unintentional injuries,2637
2000,Kentucky,Stroke,2637
2001,Washington,CLRD,2634
2010,Kentucky,Unintentional injuries,2632
2016,New Hampshire,Heart disease,2631
2004,Virginia,Unintentional injuries,2630
2007,Kentucky,CLRD,2629
2010,Maine,Heart disease,2628
2012,Alabama,Stroke,2628
2016,South Carolina,Stroke,2627
2003,Illinois,Alzheimer's disease,2626
2008,North Carolina,Alzheimer's disease,2624
2012,Maine,Heart disease,2623
2009,Virginia,Unintentional injuries,2622
2014,Kentucky,Unintentional injuries,2621
2006,Florida,Kidney disease,2620
2010,Alabama,Stroke,2619
2007,Wisconsin,Unintentional injuries,2619
2015,Wisconsin,Stroke,2618
2010,New York,Alzheimer's disease,2616
2011,Wisconsin,CLRD,2615
2006,Utah,Cancer,2615
2010,Illinois,Kidney disease,2612
2010,Washington,Unintentional injuries,2609
2007,New Hampshire,Cancer,2609
2010,Wisconsin,Stroke,2609
2011,Kentucky,Unintentional injuries,2608
2015,Hawaii,Heart disease,2605
2013,Alabama,Stroke,2604
2000,Michigan,Diabetes,2603
2009,Pennsylvania,Influenza and pneumonia,2601
2015,South Carolina,Stroke,2600
1999,Arizona,Stroke,2600
2011,California,Kidney disease,2599
2002,New Jersey,Unintentional injuries,2599
2002,Ohio,Alzheimer's disease,2599
2004,New Jersey,Diabetes,2595
2009,Oklahoma,CLRD,2595
2002,Louisiana,Stroke,2595
2004,Illinois,Alzheimer's disease,2595
2016,Oklahoma,Unintentional injuries,2592
2014,Massachusetts,CLRD,2592
2009,Washington,Stroke,2591
2006,New Jersey,Unintentional injuries,2590
2011,Tennessee,Alzheimer's disease,2589
2001,Oregon,Stroke,2588
2007,Florida,Suicide,2587
2008,Massachusetts,CLRD,2587
1999,Michigan,Diabetes,2587
2000,Oregon,Stroke,2585
2012,Oklahoma,CLRD,2585
2013,New Hampshire,Cancer,2584
2009,Massachusetts,Stroke,2579
2005,Kentucky,CLRD,2578
2015,Louisiana,Unintentional injuries,2578
2009,Michigan,Alzheimer's disease,2578
2015,Colorado,CLRD,2577
2002,Arizona,Unintentional injuries,2577
2009,Indiana,Unintentional injuries,2577
2008,New Hampshire,Cancer,2576
2008,Illinois,Kidney disease,2576
2016,Colorado,CLRD,2575
2002,Arizona,CLRD,2575
2004,Massachusetts,CLRD,2574
2015,Minnesota,Unintentional injuries,2574
2011,Idaho,Cancer,2573
2012,Idaho,Cancer,2572
2013,Massachusetts,CLRD,2572
2007,Utah,Cancer,2572
2015,New Hampshire,Heart disease,2571
2011,Alabama,Stroke,2568
2003,Idaho,Heart disease,2566
2011,New York,Alzheimer's disease,2563
2009,New Hampshire,Cancer,2562
2005,New Jersey,Unintentional injuries,2561
2004,Texas,Kidney disease,2561
2003,Arizona,CLRD,2560
2009,Massachusetts,CLRD,2559
2008,Indiana,Unintentional injuries,2558
2011,Washington,Stroke,2557
2001,Kentucky,Stroke,2557
2013,New York,Alzheimer's disease,2556
2001,New Jersey,Diabetes,2556
2016,Arizona,Stroke,2556
2009,Utah,Cancer,2555
2007,Pennsylvania,Influenza and pneumonia,2555
2002,Kentucky,Stroke,2554
2003,Oregon,Stroke,2554
2004,New Hampshire,Cancer,2554
2011,Wisconsin,Stroke,2554
1999,Arizona,CLRD,2553
2015,Alabama,Unintentional injuries,2552
2008,Texas,Suicide,2552
2007,Illinois,Influenza and pneumonia,2550
2003,Minnesota,Stroke,2550
2004,Washington,CLRD,2549
2005,New Hampshire,Cancer,2549
2010,Washington,Stroke,2548
2005,Washington,Unintentional injuries,2543
2015,Illinois,Kidney disease,2543
2004,Minnesota,Stroke,2542
2000,Pennsylvania,Alzheimer's disease,2542
2007,Alabama,Unintentional injuries,2542
2014,Pennsylvania,Influenza and pneumonia,2541
2005,New Jersey,Diabetes,2540
2015,Maryland,Stroke,2540
2008,Wisconsin,CLRD,2538
2013,Tennessee,Alzheimer's disease,2536
2007,Illinois,Kidney disease,2536
2013,Wisconsin,Stroke,2536
2006,Massachusetts,CLRD,2535
2002,Arizona,Stroke,2535
2006,New Hampshire,Cancer,2534
2010,Indiana,Unintentional injuries,2534
2000,Ohio,Influenza and pneumonia,2533
2000,Louisiana,Stroke,2533
1999,Idaho,Heart disease,2532
2002,Idaho,Heart disease,2532
2002,New Jersey,Diabetes,2532
2007,Alabama,CLRD,2530
2005,New Hampshire,Heart disease,2530
2010,Idaho,Cancer,2530
2002,New Hampshire,Cancer,2529
2014,Hawaii,Heart disease,2528
2010,Virginia,Unintentional injuries,2527
2003,Louisiana,Stroke,2526
2010,New Hampshire,Cancer,2525
2010,Wisconsin,Unintentional injuries,2525
2012,Wisconsin,CLRD,2524
2006,Wisconsin,Unintentional injuries,2524
2011,Idaho,Heart disease,2522
2015,Arizona,Stroke,2522
2013,Hawaii,Heart disease,2521
2012,Wisconsin,Stroke,2520
2005,Utah,Cancer,2520
2012,Massachusetts,CLRD,2520
2000,Idaho,Heart disease,2519
2016,Illinois,Kidney disease,2518
2014,Colorado,Unintentional injuries,2517
2014,Illinois,Kidney disease,2517
2010,Massachusetts,Stroke,2516
2012,Idaho,Heart disease,2515
2012,Washington,Stroke,2513
2015,Indiana,Alzheimer's disease,2513
2013,Kentucky,Unintentional injuries,2513
2002,Hawaii,Heart disease,2512
2008,Idaho,Cancer,2511
2007,New Hampshire,Heart disease,2511
2014,Wisconsin,Stroke,2511
2008,Alabama,Unintentional injuries,2509
2000,Arizona,CLRD,2508
2013,South Carolina,Stroke,2508
2016,Alabama,Alzheimer's disease,2507
2010,Illinois,Diabetes,2507
2006,Alabama,Unintentional injuries,2506
2006,Illinois,Kidney disease,2502
2009,Wisconsin,Stroke,2501
2006,New Hampshire,Heart disease,2501
2007,Indiana,Unintentional injuries,2499
2001,Arizona,CLRD,2499
2013,Idaho,Heart disease,2495
2010,Idaho,Heart disease,2495
2014,Hawaii,Cancer,2493
2000,Oklahoma,Stroke,2493
2008,Utah,Cancer,2492
2016,Pennsylvania,Influenza and pneumonia,2491
2005,Wisconsin,Unintentional injuries,2490
2001,Idaho,Heart disease,2489
2004,Louisiana,Stroke,2489
2016,Hawaii,Heart disease,2488
2002,Ohio,Influenza and pneumonia,2487
2010,New Jersey,Unintentional injuries,2486
2014,Illinois,Influenza and pneumonia,2485
2003,Oklahoma,Stroke,2485
2014,Arizona,Alzheimer's disease,2485
2003,New Hampshire,Cancer,2485
2003,New Jersey,Diabetes,2484
2008,Wisconsin,Unintentional injuries,2484
2000,New Hampshire,Cancer,2484
2000,New Jersey,Diabetes,2483
2005,California,Kidney disease,2482
2016,Wisconsin,Stroke,2481
2016,South Carolina,Alzheimer's disease,2481
1999,Oklahoma,Stroke,2481
2006,Indiana,Unintentional injuries,2480
2001,Arizona,Stroke,2480
2005,Indiana,Unintentional injuries,2480
2002,Virginia,Unintentional injuries,2479
2005,Maryland,Stroke,2476
2015,Massachusetts,Stroke,2475
2001,Arizona,Unintentional injuries,2475
2013,Oklahoma,Unintentional injuries,2474
2010,Wisconsin,CLRD,2474
2006,Washington,Alzheimer's disease,2470
2014,Maryland,Stroke,2469
2005,Louisiana,Stroke,2469
2016,Massachusetts,Stroke,2468
2012,South Carolina,CLRD,2467
2007,South Carolina,Stroke,2466
2011,Massachusetts,Stroke,2466
2007,Louisiana,Unintentional injuries,2466
1999,Missouri,Unintentional injuries,2465
2002,New York,Kidney disease,2465
2014,New Hampshire,Heart disease,2464
2014,Alabama,Unintentional injuries,2463
1999,Rhode Island,Cancer,2463
2015,Hawaii,Cancer,2462
2009,Wisconsin,CLRD,2461
2003,Hawaii,Heart disease,2461
2014,Massachusetts,Stroke,2460
2007,North Carolina,Alzheimer's disease,2460
2005,South Carolina,Stroke,2458
2009,Idaho,Cancer,2458
2004,Hawaii,Heart disease,2457
2001,Missouri,Unintentional injuries,2455
2006,New Jersey,Diabetes,2454
2006,Florida,Influenza and pneumonia,2454
2011,Florida,Influenza and pneumonia,2453
2015,South Carolina,Alzheimer's disease,2453
2014,Colorado,CLRD,2451
2005,Idaho,Heart disease,2450
2004,Idaho,Heart disease,2450
2009,Wisconsin,Unintentional injuries,2449
2005,Wisconsin,CLRD,2449
2004,Arizona,Stroke,2446
2006,Kentucky,Unintentional injuries,2446
2015,Ohio,Influenza and pneumonia,2445
2004,Utah,Cancer,2445
2013,Illinois,Kidney disease,2444
2003,Utah,Cancer,2444
2014,Ohio,Influenza and pneumonia,2443
2003,Kentucky,Stroke,2442
2013,Illinois,Influenza and pneumonia,2441
2000,New York,Kidney disease,2440
2010,Tennessee,Alzheimer's disease,2440
2006,Florida,Suicide,2440
2010,New York,Kidney disease,2439
1999,New Jersey,Diabetes,2436
2008,New Jersey,Unintentional injuries,2436
2014,South Carolina,Unintentional injuries,2436
2016,New Jersey,Alzheimer's disease,2435
2003,Alabama,CLRD,2434
2012,Tennessee,Alzheimer's disease,2434
2013,New Hampshire,Heart disease,2434
2007,Idaho,Heart disease,2433
2007,Texas,Suicide,2433
2000,Rhode Island,Cancer,2433
2001,Virginia,Unintentional injuries,2432
2007,Michigan,Alzheimer's disease,2432
2012,Hawaii,Heart disease,2430
2003,Arizona,Stroke,2428
2002,Oklahoma,Stroke,2427
2009,New York,Kidney disease,2426
2007,New Jersey,Unintentional injuries,2425
2011,Illinois,Influenza and pneumonia,2424
2008,Tennessee,Alzheimer's disease,2423
2015,Oklahoma,Unintentional injuries,2422
2006,Louisiana,Unintentional injuries,2422
2013,Colorado,Unintentional injuries,2422
2014,Oklahoma,Unintentional injuries,2421
2001,New York,Kidney disease,2421
2005,Texas,Suicide,2418
2004,Rhode Island,Cancer,2418
2005,North Carolina,Alzheimer's disease,2417
2005,Florida,Kidney disease,2416
2009,Illinois,Influenza and pneumonia,2416
2005,Ohio,Influenza and pneumonia,2416
2004,Arizona,CLRD,2416
2003,New York,Kidney disease,2415
2009,Rhode Island,Heart disease,2411
2009,Florida,Influenza and pneumonia,2410
1999,Hawaii,Heart disease,2410
2008,Louisiana,Unintentional injuries,2409
2008,New Hampshire,Heart disease,2409
2012,North Carolina,Diabetes,2409
2016,Virginia,Alzheimer's disease,2408
1999,New Hampshire,Cancer,2408
2006,Kentucky,CLRD,2407
2001,New Jersey,Unintentional injuries,2405
2007,Idaho,Cancer,2405
2013,Minnesota,Unintentional injuries,2405
2005,Kentucky,Unintentional injuries,2405
2002,Rhode Island,Cancer,2404
2012,Colorado,Unintentional injuries,2403
2004,Alabama,Unintentional injuries,2403
2013,North Carolina,Diabetes,2402
2005,Illinois,Kidney disease,2402
2011,South Carolina,CLRD,2402
2016,Hawaii,Cancer,2401
2001,Ohio,Influenza and pneumonia,2401
2002,Kentucky,CLRD,2401
2009,South Carolina,Stroke,2400
2007,Wisconsin,CLRD,2399
2006,Idaho,Heart disease,2399
2001,New Hampshire,Cancer,2398
2001,Rhode Island,Cancer,2398
2009,Idaho,Heart disease,2398
2002,Illinois,Alzheimer's disease,2398
2000,Missouri,Unintentional injuries,2398
2009,New York,Alzheimer's disease,2396
2000,Virginia,Unintentional injuries,2396
2004,Indiana,Unintentional injuries,2395
2005,Alabama,Unintentional injuries,2395
2008,New York,Kidney disease,2394
2009,Kentucky,Unintentional injuries,2394
2008,South Carolina,Stroke,2394
2010,Alabama,Unintentional injuries,2394
2013,Massachusetts,Unintentional injuries,2393
1999,Utah,Cancer,2393
2014,South Carolina,Stroke,2393
2012,Illinois,Kidney disease,2392
2003,Kentucky,CLRD,2391
2000,Hawaii,Heart disease,2390
2011,Rhode Island,Heart disease,2390
2004,Florida,Suicide,2389
2012,Oklahoma,Unintentional injuries,2388
2003,North Carolina,Diabetes,2388
2007,New York,Kidney disease,2387
2007,Oklahoma,CLRD,2386
2011,Illinois,Kidney disease,2386
2016,New York,Kidney disease,2385
2014,Minnesota,Unintentional injuries,2385
2001,Oklahoma,Stroke,2384
2010,Massachusetts,CLRD,2383
2013,Arizona,Alzheimer's disease,2383
2004,New York,Kidney disease,2383
2005,Alabama,CLRD,2382
2003,Washington,Alzheimer's disease,2380
2005,Minnesota,Stroke,2379
2008,Kentucky,Unintentional injuries,2379
2002,Utah,Cancer,2376
2001,Wisconsin,CLRD,2375
2013,Ohio,Influenza and pneumonia,2374
2004,California,Kidney disease,2373
2007,Kentucky,Unintentional injuries,2372
2003,New Jersey,Unintentional injuries,2371
2012,Massachusetts,Stroke,2371
2015,Rhode Island,Heart disease,2371
2016,Minnesota,CLRD,2369
2005,Idaho,Cancer,2368
2005,Oklahoma,CLRD,2368
2001,Ohio,Alzheimer's disease,2367
2006,Maryland,Stroke,2365
2007,Maryland,Stroke,2364
2007,South Carolina,Unintentional injuries,2364
2005,Arizona,Stroke,2364
2013,Rhode Island,Heart disease,2364
2009,Hawaii,Heart disease,2363
2003,Texas,Suicide,2363
2012,Louisiana,Unintentional injuries,2362
2004,Alabama,CLRD,2361
2012,Pennsylvania,Influenza and pneumonia,2360
2012,Rhode Island,Heart disease,2360
2005,New York,Kidney disease,2360
2005,Michigan,Alzheimer's disease,2359
2000,Utah,Cancer,2359
2006,Wisconsin,CLRD,2354
2013,Massachusetts,Stroke,2354
2015,Minnesota,CLRD,2351
2009,Alabama,Unintentional injuries,2351
2006,New York,Kidney disease,2351
2012,South Carolina,Stroke,2349
2011,Arizona,Alzheimer's disease,2348
2005,Florida,Suicide,2347
2006,Texas,Suicide,2347
2003,Wisconsin,Unintentional injuries,2345
2014,Louisiana,Unintentional injuries,2344
2015,Illinois,Influenza and pneumonia,2343
2004,Washington,Unintentional injuries,2341
2014,Rhode Island,Heart disease,2341
2004,Kentucky,Stroke,2339
2004,Illinois,Kidney disease,2339
2002,Florida,Suicide,2338
2012,Florida,Influenza and pneumonia,2338
2012,South Carolina,Unintentional injuries,2336
2002,Wisconsin,CLRD,2335
2003,California,Kidney disease,2334
2011,New Hampshire,Heart disease,2333
2013,Louisiana,Unintentional injuries,2333
2013,Hawaii,Cancer,2332
2007,Massachusetts,CLRD,2332
2006,Michigan,Alzheimer's disease,2331
2008,Idaho,Heart disease,2330
2008,Maryland,Stroke,2330
2011,Colorado,Unintentional injuries,2330
2003,Ohio,Influenza and pneumonia,2330
2007,New Jersey,Diabetes,2329
2013,Alabama,Unintentional injuries,2329
2004,Oregon,Stroke,2328
2002,Illinois,Kidney disease,2328
2002,Alabama,CLRD,2328
2003,Rhode Island,Cancer,2328
2010,Arizona,Alzheimer's disease,2327
1999,Kentucky,CLRD,2327
2000,Arizona,Unintentional injuries,2326
2013,Rhode Island,Cancer,2326
2004,New Jersey,Unintentional injuries,2324
2012,New Hampshire,Heart disease,2324
2010,Pennsylvania,Influenza and pneumonia,2324
2012,Illinois,Influenza and pneumonia,2323
2016,Louisiana,Stroke,2322
2010,Rhode Island,Heart disease,2322
2003,Idaho,Cancer,2321
2011,Minnesota,Unintentional injuries,2319
2005,Hawaii,Heart disease,2319
2009,South Carolina,CLRD,2317
1999,Iowa,Stroke,2317
2000,Wisconsin,CLRD,2316
2006,South Carolina,Unintentional injuries,2315
2013,Maryland,Stroke,2315
2001,Florida,Suicide,2314
1999,Alabama,Unintentional injuries,2313
2001,Utah,Cancer,2313
2008,Hawaii,Heart disease,2313
2004,Wisconsin,CLRD,2312
2011,Hawaii,Heart disease,2312
2002,Texas,Suicide,2311
2001,Hawaii,Heart disease,2310
1999,Indiana,Unintentional injuries,2309
2005,Washington,Alzheimer's disease,2309
2006,Alabama,CLRD,2309
1999,Michigan,Influenza and pneumonia,2307
2006,Idaho,Cancer,2306
2011,Maryland,Stroke,2306
2008,New York,Alzheimer's disease,2303
2004,Wisconsin,Unintentional injuries,2303
1999,New York,Kidney disease,2302
2016,Missouri,Alzheimer's disease,2302
2012,Minnesota,Unintentional injuries,2301
2004,Texas,Suicide,2300
2004,Louisiana,Unintentional injuries,2300
2008,Florida,Influenza and pneumonia,2300
2003,Wisconsin,CLRD,2299
2003,Illinois,Kidney disease,2297
2003,Florida,Suicide,2297
2013,Colorado,CLRD,2297
2000,Ohio,Alzheimer's disease,2295
2010,South Carolina,Stroke,2293
2005,Rhode Island,Cancer,2292
2011,Ohio,Influenza and pneumonia,2291
2006,South Carolina,Stroke,2291
2010,New Hampshire,Heart disease,2290
2005,Oregon,Stroke,2289
2010,Oklahoma,Unintentional injuries,2288
2009,Maryland,Stroke,2288
2011,South Carolina,Stroke,2287
2013,Minnesota,CLRD,2287
